IdVehicle|Latitude|Longitude|Speed|Odometer|UTCDate|EventType|RPM|BatteryLevel|CoolantTemperature|Course
2E9F99BCE8D8AD9DBEEC27CC587770E0|37,94233|-1,16088|0|43224,900|2026-01-01 00:00:00.0000000|3|830|13,90|88,00|0
E463AE24B424572CF417F7B1E0F2A09D|39,49647|-,36959|0|100505,400|2026-01-01 00:00:00.0000000|3333||||0
788F6C7AD19C5907B3A441672D99E22B|40,53735|-3,64526|0|55107,800|2026-01-01 00:00:00.0000000|3333|0|12,30|,00|0
2E9F99BCE8D8AD9DBEEC27CC587770E0|37,94233|-1,16088|0|43224,900|2026-01-01 00:00:02.0000000|3|829|13,90|88,00|0
9C0ED66C3B7EFC9E720319C8C5010D88|36,64793|-4,50320|32|38514,927|2026-01-01 00:00:04.0000000|3||||34
BDF6FAA09594D918D82388C39EFECAAA|40,78923|-5,48042|0|63918,500|2026-01-01 00:00:04.0000000|3333|0|12,20|,00|0
31FD3B0DDEC40533B13C80E2F3B2F8FB|37,48265|-5,98397|0|128725,800|2026-01-01 00:00:04.0000000|3333|0|11,90|,00|0
D51F36ACE2458329A6B27A7BC8052296|41,33241|2,13540|0|5090,700|2026-01-01 00:00:04.0000000|3||12,40||0
AB2715686143FEA35A9E9277266C2AFA|40,33049|-3,72469|64|7356,300|2026-01-01 00:00:05.0000000|3|1289|14,20|86,00|121
A623B63BAB377FFE921B890815DD66CC|40,45944|-3,77015|83|45163,904|2026-01-01 00:00:05.0000000|3||||330
2E9F99BCE8D8AD9DBEEC27CC587770E0|37,94233|-1,16088|0|43224,900|2026-01-01 00:00:05.0000000|3|831|13,90|88,00|0
661DF2DC9032CF155ED850B5A616B56A|40,97611|-4,26510|26|51439,262|2026-01-01 00:00:06.0000000|3||||338
52F3B383E8BB7CDAF0D1CC0789FEB1DE|40,47209|-3,67355|0|11462,200|2026-01-01 00:00:06.0000000|3||14,30||
7C4B7A1661CDA0D5AE19AA635E4F2D85|40,46669|-3,81099|79|32632,700|2026-01-01 00:00:07.0000000|3||||110
65B4CF1F58909F8E4995D4D5BCC70A4E|37,38207|-5,96782|0|49752,000|2026-01-01 00:00:07.0000000|3333|0|12,50|,00|0
2E9F99BCE8D8AD9DBEEC27CC587770E0|37,94233|-1,16088|0|43224,900|2026-01-01 00:00:07.0000000|3|831|13,90|88,00|0
1C9DBD320FDE3B99A7933C9E704D53B1|43,35257|-8,42786|3|16307,500|2026-01-01 00:00:08.0000000|3||12,20||0
B55768CA455827B5CB9DCE048BEAEDF5|37,82960|-,78579|0|46251,600|2026-01-01 00:00:08.0000000|3|0|12,40|88,00|0
30B2F3A2ABB01F1D2BD7BB7DC56B9615|37,90538|-6,82627|0|9856,900|2026-01-01 00:00:09.0000000|3333|0|12,10|,00|0
D51F36ACE2458329A6B27A7BC8052296|41,33241|2,13540|0|5090,700|2026-01-01 00:00:09.0000000|3||12,40||11
2E9F99BCE8D8AD9DBEEC27CC587770E0|37,94233|-1,16088|0|43224,900|2026-01-01 00:00:09.0000000|3|832|13,90|88,00|0
2E9F99BCE8D8AD9DBEEC27CC587770E0|37,94233|-1,16088|0|43224,900|2026-01-01 00:00:11.0000000|3|829|13,90|88,00|0
A623B63BAB377FFE921B890815DD66CC|40,46049|-3,77093|76|-1,000|2026-01-01 00:00:11.0000000|3||||331
